ANO,MES,NCM,KG,oc,date
2005,11,31022100-0,6530692.000000002,1,1130803200000000000
2005,11,31042090-0,56866984.99999998,1,1130803200000000000
2005,11,31054000-0,20665297.00000001,1,1130803200000000000
2005,11,31055900-0,0.0,0,1130803200000000000
2005,11,31059090-0,0.0,0,1130803200000000000
2006,5,31021010-0,505587.0000000112,1,1146441600000000000
2006,5,31022100-0,22531049.00000001,1,1146441600000000000
2006,5,31042090-0,95258932.0,1,1146441600000000000
2006,5,31054000-0,74470266.00000001,1,1146441600000000000
2006,5,31055900-0,0.0,0,1146441600000000000
2006,5,31059090-0,0.0,0,1146441600000000000
2006,11,31021010-0,20846583.99999998,1,1162339200000000000
2006,11,31022100-0,6026644.000000013,1,1162339200000000000
2006,11,31042090-0,14247925.0,1,1162339200000000000
2006,11,31054000-0,46009242.99999999,1,1162339200000000000
2006,11,31055900-0,0.0,0,1162339200000000000
2006,11,31059090-0,0.0,0,1162339200000000000
2007,5,31021010-0,12999999.999999993,1,1177977600000000000
2007,5,31022100-0,20285003.000000004,1,1177977600000000000
2007,5,31042090-0,124276530.0,1,1177977600000000000
2007,5,31054000-0,154381742.9999999,1,1177977600000000000
2007,5,31055900-0,0.0,0,1177977600000000000
2007,5,31059090-0,0.0,0,1177977600000000000
2007,11,31021010-0,25536826.99999999,1,1193875200000000000
2007,11,31022100-0,0.0,0,1193875200000000000
2007,11,31042090-0,79798336.99999996,1,1193875200000000000
2007,11,31054000-0,11502000.000000004,1,1193875200000000000
2007,11,31055900-0,0.0,0,1193875200000000000
2007,11,31059090-0,0.0,0,1193875200000000000
2008,5,31021010-0,33058108.99999997,1,1209600000000000000
2008,5,31022100-0,6093619.000000003,1,1209600000000000000
2008,5,31042090-0,176073228.99999988,1,1209600000000000000
2008,5,31054000-0,116537317.0,1,1209600000000000000
2008,5,31055900-0,13158770.999999993,1,1209600000000000000
2008,5,31059090-0,7160980.000000012,1,1209600000000000000
2008,11,31021010-0,0.0,0,1225497600000000000
2008,11,31022100-0,0.0,0,1225497600000000000
2008,11,31042090-0,0.0,0,1225497600000000000
2008,11,31054000-0,0.0,0,1225497600000000000
2008,11,31055900-0,0.0,0,1225497600000000000
2008,11,31059090-0,0.0,0,1225497600000000000
2009,5,31021010-0,5300049.000000004,1,1241136000000000000
2009,5,31022100-0,21208052.000000004,1,1241136000000000000
