ANO,MES,k1,k2,k3,k4,k5,k6
2007,7,4516619.000000005,23883728.0,31157249.99999999,0.0,0.0,0.0
2007,8,0.0,0.0,31232330.999999978,0.0,0.0,0.0
2007,9,5035474.000000004,37860615.99999999,0.0,0.0,0.0,0.0
2007,10,0.0,20546594.999999996,28863110.0,0.0,0.0,0.0
2007,11,0.0,21802567.0,23116051.99999999,12999999.999999993,0.0,0.0
2007,12,0.0,21195622.999999996,0.0,20034937.999999985,0.0,0.0
2008,1,0.0,31650854.999999978,0.0,0.0,0.0,0.0
2008,2,0.0,26951858.99999998,0.0,0.0,0.0,0.0
2008,3,9875107.999999996,0.0,0.0,0.0,4431809.000000006,0.0
2008,5,0.0,10772050.999999996,0.0,0.0,0.0,0.0
2008,6,0.0,47569100.99999997,22154640.0,0.0,0.0,0.0
2008,7,0.0,10002174.999999996,28870066.999999996,0.0,0.0,0.0
2008,8,0.0,21260625.999999996,22060340.000000004,0.0,13158770.999999993,7160980.000000012
2008,9,0.0,37432729.99999996,0.0,33058108.99999997,0.0,0.0
2008,10,6093619.000000003,23530898.999999978,28151883.99999998,0.0,0.0,0.0
2008,11,0.0,36277697.99999997,11722684.999999994,0.0,0.0,0.0
2009,6,9000945.999999998,0.0,17780675.999999996,0.0,0.0,0.0
2009,7,0.0,32499429.99999999,0.0,0.0,0.0,0.0
2009,8,0.0,0.0,18174949.999999985,0.0,0.0,0.0
2009,9,9191773.999999998,38017476.99999999,0.0,0.0,10775801.999999996,0.0
2009,10,0.0,25277678.99999999,25082442.999999985,0.0,0.0,0.0
2009,11,3015332.0000000065,0.0,16523443.0,0.0,0.0,0.0
2010,1,2055321.0000000084,0.0,0.0,0.0,0.0,0.0
2010,2,0.0,12190943.000000004,0.0,0.0,0.0,0.0
2010,3,3000355.0000000065,0.0,0.0,0.0,0.0,0.0
2010,6,3505226.0000000065,0.0,13975764.000000017,0.0,0.0,0.0
2010,7,0.0,31439168.999999985,0.0,0.0,0.0,0.0
2010,8,5038261.000000004,25807190.99999997,12838303.999999993,0.0,10235747.999999996,0.0
2010,9,6007249.000000003,0.0,14300427.000000026,0.0,5523838.000000015,0.0
2010,10,0.0,38739441.99999998,0.0,0.0,0.0,0.0
2010,11,0.0,29551635.999999978,20855532.999999996,0.0,0.0,0.0
2010,12,4008064.0000000056,43812853.99999999,22871507.0,0.0,3030000.0000000065,1816000.0000000184
2011,1,6148566.000000002,0.0,0.0,0.0,0.0,0.0
2011,2,0.0,31454950.0,0.0,0.0,0.0,0.0
2011,3,4404017.000000006,0.0,0.0,0.0,0.0,0.0
2011,4,0.0,15331623.999999989,31767709.999999978,0.0,0.0,0.0
2011,5,3147385.0000000065,40124333.99999999,14008649.000000002,0.0,0.0,0.0
2011,6,5002500.000000004,56360926.99999994,19401038.999999996,0.0,0.0,0.0
2011,7,5550320.000000004,34991638.99999997,17966158.999999996,0.0,10983031.000000007,0.0
2011,8,9002490.999999998,43440662.99999996,20467220.000000004,0.0,0.0,0.0
2011,9,0.0,35783994.999999985,34085161.99999997,0.0,0.0,0.0
2011,10,0.0,54393784.99999996,33453952.999999985,0.0,14010588.000000004,0.0
2011,11,13582574.999999993,40116684.99999996,19749521.000000007,0.0,0.0,4008400.0000000177
2012,5,4507519.000000005,34427670.999999985,14266000.000000011,0.0,0.0,0.0
2012,6,6060847.000000003,34676316.99999999,0.0,0.0,0.0,0.0
2012,7,5002148.000000004,107355040.99999988,39194629.99999997,0.0,0.0,0.0
2012,8,6066980.000000003,33751498.99999997,0.0,0.0,0.0,0.0
2012,9,0.0,0.0,0.0,0.0,7417840.000000012,0.0
2012,10,0.0,0.0,21599666.000000004,0.0,10052341.999999996,0.0
2012,11,10711923.999999996,34801951.99999999,34056876.999999985,0.0,0.0,0.0
2012,12,0.0,42870742.99999998,19087426.00000002,0.0,0.0,4069780.0000000168
2013,1,0.0,30383406.000000004,0.0,0.0,5685000.000000003,0.0
2013,2,5317283.000000004,0.0,0.0,0.0,0.0,0.0
2013,3,4415065.000000006,0.0,0.0,0.0,0.0,0.0
2013,6,0.0,43912152.99999998,0.0,0.0,0.0,2508000.0000000186
2013,7,5653847.000000004,32103506.999999978,0.0,0.0,1144000.0000000214,0.0
2013,8,0.0,59617738.99999997,29879173.0,0.0,0.0,0.0
2013,9,4907223.000000004,28221459.999999996,32785039.999999985,0.0,0.0,0.0
2013,10,0.0,24054134.0,18421642.000000007,0.0,9764627.00000002,0.0
2013,11,0.0,74763555.99999996,26355069.99999998,0.0,0.0,4733058.000000037
2013,12,4066170.0000000056,38541579.99999998,0.0,0.0,7221000.000000012,0.0
2014,1,0.0,21289646.999999996,17206817.0,0.0,0.0,3001700.0000000065
2014,2,0.0,17566538.999999996,19415598.000000007,0.0,0.0,0.0
2014,3,5141600.000000015,25014764.99999999,0.0,21318321.999999996,0.0,4629340.000000016
2014,4,3003957.0000000065,21438722.0,0.0,0.0,0.0,0.0
2014,6,5401065.000000004,48142411.99999998,26345999.999999996,0.0,13709292.000000004,0.0
2014,7,0.0,35038519.99999997,20437515.000000004,0.0,0.0,2640592.00000003
2014,8,5132316.000000004,93164256.99999993,35391688.00000001,0.0,0.0,0.0
2014,9,9303329.00000001,60643270.99999996,0.0,0.0,0.0,0.0
2014,10,8407685.999999998,30910483.999999978,48880760.99999997,0.0,3599527.0000000168,0.0
2014,11,0.0,69132685.99999993,21274782.000000004,28026404.999999996,12009672.000000017,3973300.000000016
2014,12,11574739.999999994,62566202.99999994,0.0,0.0,7700449.000000011,2813719.00000003
