ANO,MES,NCM,KG,FOB,FRETE,KG_l,FOB_l,FRETE_l,KG_,FOB_,FRETE_
1997,3,31022100-0,6004584.000000014,579942,108000,15.608033735492894,13.27068337752227,11.589886506106357,1.6714927983091266,0.7413621387743263,0.7518981203020645
1997,4,31022100-0,11049492.000000019,1096029,148938,16.217895012020573,13.907204205994057,11.911285390948345,1.736803954663533,0.7769211547907537,0.7727489903474741
1997,5,31022100-0,4202529.000000017,432860,42200,15.251197044895475,12.978169629068521,10.650175500024103,1.6332785063224484,0.7250209593485646,0.6909340255520305
1997,8,31022100-0,22431878.000000026,2875321,369600,16.925993630142607,14.871674878154861,12.820176618749667,1.8126355270922971,0.8308009754418395,0.8317136407245758
1997,9,31022100-0,1000000.0000000102,81000,12000,13.815510557964284,11.302204433654575,9.392661928770137,1.4795282220647863,0.6313937431429589,0.6093523733087556
1997,10,31022100-0,8061543.000000011,631010,96432,15.902615535366621,13.355076989258313,11.476593375722825,1.7030401005091578,0.746076758716318,0.7445481870879961
1997,12,31022100-0,4095347.0000000056,274388,50398,15.225362009164028,12.52229844209918,10.827706770732405,1.6305117852286202,0.6995538730981591,0.7024514315827177
1998,4,31022100-0,12600066.999999993,692972,151549,16.349212689367885,13.448744873315372,11.92866428398183,1.7508670042248353,0.7513094826751027,0.7738764523806807
1998,6,31022100-0,14737680.0,813797,176977,16.505918037493636,13.609466228133494,12.083775059609753,1.7676488657512541,0.7602881255953678,0.7839393206039186
1998,9,31022100-0,2000000.0000000084,113000,24000,14.508657738524224,11.635143097694478,10.085809109330082,1.5537586177769356,0.6499932465017206,0.6543205498203294
1998,10,31022100-0,2508782.0000000196,132549,30000,14.735307934367597,11.794707667365817,10.308952660644293,1.5780310006092493,0.6589072660196993,0.668797069215259
1998,11,31022100-0,11099967.999999996,645698,133200,16.222452783395525,13.378087181196102,11.799607037088427,1.737292054712436,0.7473622151335437,0.7655038163501741
1998,12,31022100-0,8590662.00000001,505258,102000,15.966186357347208,13.132824468886186,11.532728092266408,1.709848015774071,0.7336606985057226,0.7481899473270262
1999,1,31022100-0,9492703.000000007,508051,78452,16.066033956163622,13.138337115222296,11.2702422517814,1.7205408772310893,0.7339686605873865,0.7311610825523279
1999,2,31022100-0,3000000.0000000065,174000,36000,14.914122846632386,12.066810578196666,10.491274217438248,1.5971806156822357,0.6741082010583546,0.68062524680541
1999,3,31022100-0,6012075.000000003,348700,72000,15.60928050482709,12.761967232663743,11.184421397998193,1.671626317110955,0.7129428872216785,0.725593423316984
1999,6,31022100-0,9481811.999999998,540946,113493,16.064885995206932,13.201074737689638,11.639496439992865,1.7204179399986126,0.7374734761760686,0.755116582883033
1999,7,31022100-0,3000354.0000000075,165019,36000,14.914240839670933,12.013815897768442,10.491274217438248,1.5971932517719267,0.6711476715582329,0.68062524680541
1999,9,31022100-0,6500000.000000002,410280,65000,15.687312734865866,12.924595132421347,11.082142548877775,1.6799829309392054,0.7220280386158326,0.718958045622838
1999,10,31022100-0,12100000.000000015,664800,136000,16.30871601056697,13.407241522523375,11.820410164718188,1.7465301410351282,0.7489909123321788,0.7668534268535194
1999,12,31022100-0,7428801.0,408584,89146,15.820875030859028,12.920452802498128,11.398030754085015,1.6942863608049759,0.7217966287868115,0.7394514083141618
2000,1,31022100-0,8000000.0,433000,96000,15.89495209964411,12.978493006984626,11.472103470449973,1.702219409201235,0.7250390247440455,0.7442569028434771
2000,2,31022100-0,4063140.000000029,245873,48000,15.217466631673796,12.412570421443737,10.778956289890028,1.6296662548537821,0.6934239551608222,0.6992887263319033
2000,3,31022100-0,6531722.000000002,393745,78457,15.69218117246074,12.883458770628655,11.270305982988683,1.6805043008001856,0.7197299699864748,0.7311652171376783
2000,4,31022100-0,1574970.0000000093,98319,18000,14.26974678244142,11.495972573317566,9.798127036878302,1.5281732077696868,0.6422185332732241,0.6356570702938362
2000,6,31022100-0,9227153.999999998,564543,110724,16.03766121656989,13.243771833275753,11.614795897366555,1.7175023888024428,0.7398587346591992,0.7535141261582516
2000,8,31022100-0,9409799.00000002,612922,98701,16.057262151078383,13.325992963755379,11.499850357082506,1.7196014886266935,0.7444519896868991,0.7460569922483427
2000,10,31022100-0,23951982.0,1705875,284138,16.991561634138257,14.349588733540415,12.557215314617597,1.8196573242216185,0.8016348134752752,0.8146539300721108
2000,11,31022100-0,4317288.000000016,301895,51794,15.278137985307541,12.61783455378236,10.855029591422918,1.6361636607654482,0.7048909649473695,0.7042240095547041
2000,12,31022100-0,6588320.000000014,473312,79060,15.70080894226336,13.067510069471096,11.277962336850676,1.6814282644034775,0.7300119321637308,0.7316619258909665
2001,1,31022100-0,7839214.0,598859,96536,15.874649132198671,13.302781457067931,11.477671274753437,1.700045127389415,0.7431552868907848,0.7446181161813108
2001,3,31022100-0,3000000.0000000065,212695,36000,14.914122846632386,12.26761449362477,10.491274217438248,1.5971806156822357,0.6853260423692391,0.68062524680541
2001,6,31022100-0,6377702.000000014,511473,70740,15.668318402349891,13.145050077056839,11.166766462759472,1.67794879322864,0.7343436778793819,0.724448052944888
2001,7,31022100-0,11643704.000000004,895030,132407,16.27027616270695,13.704612516248297,11.793635791178106,1.7424135476220826,0.7656034400857056,0.765116429590738
2001,8,31022100-0,11168929.999999994,892733,145818,16.228646374156202,13.702042822990315,11.890114547726656,1.7379553376427261,0.7654598850602757,0.771375524160794
2001,9,31022100-0,5825984.000000014,457547,46542,15.577838470188102,13.033634890661554,10.748110409718926,1.6682591322782017,0.7281195070112974,0.6972875885893124
