KG_l_s,FOB_l_s,KM,NCM
0.043585780533583994,0.04814944846449325,0,31042090
0.10215479323296478,0.10008410421013454,0,31042090
0.05910600553531649,0.05320448840748102,0,31042090
0.07554967799427952,0.07390945800000696,0,31042090
0.10468783355622123,0.10196104756455716,0,31042090
0.043615410609407705,0.041339232522328226,0,31042090
0.0677461269307829,0.060985234107626206,0,31042090
0.04361366766377102,0.04092519213115499,0,31042090
0.0065209870872826765,0.006731192694611458,0,31042090
0.10979227643619768,0.09487390503922587,0,31042090
0.02191198138478286,0.021400926517763392,0,31042090
0.023718291810093668,0.01836383527123882,0,31042090
0.0283078075458949,0.02954170188269592,0,31042090
0.061031585730545915,0.06888244337872902,0,31042090
0.07381897655068828,0.07257732941029042,0,31042090
0.047915945958645914,0.049392134538114606,0,31042090
0.6409598307502182,0.6499498917918163,1,31042090
0.08713222278414791,0.09337544475291128,0,31042090
0.10565764336738771,0.1093770560990679,0,31042090
0.11332490479682346,0.1254836447141152,0,31042090
0.09716374639611132,0.09804660369348633,0,31042090
0.06724771419651532,0.06560850207291662,0,31042090
0.17925789767012792,0.19029529242697119,0,31042090
0.12111966269958298,0.1328138825831915,0,31042090
0.25939625478630307,0.26996331067989776,0,31042090
0.6480875720725451,0.7008245124967043,1,31042090
0.052285423522543346,0.06329015205572952,0,31042090
0.04704447314030142,0.044337753645245434,0,31042090
0.08664603681352169,0.09969328748980708,0,31042090
0.49153622984405393,0.58026033170118,1,31042090
0.05502184817214503,0.055278927114109595,0,31042090
0.46582114108001565,0.5217711714593889,1,31042090
0.07841749460070302,0.09689791072011236,0,31042090
0.09384571821700288,0.11082250992584398,0,31042090
0.14006275406047078,0.14935795494363066,0,31042090
0.09584695096759281,0.1181386880590569,0,31042090
0.22682182961325992,0.2646427363057937,0,31042090
0.01760304503757582,0.01878415233020821,0,31042090
0.04355858186692346,0.05517366739516811,0,31042090
0.06360500138947628,0.07104403361770718,0,31042090
0.10698424286511261,0.1250178218136237,0,31042090
0.04404428852749958,0.04714342415012584,0,31042090
0.12373408115461645,0.1466324688698461,0,31042090
0.315170637166545,0.36760500653385425,1,31042090
0.08674006001589288,0.10935734736218798,0,31042090
