ANO,MES,NCM,KG,FOB,FRETE
2015,7,31022100-0,7000000.000000001,990150,178500
2015,9,31022100-0,8353952.999999999,1220100,212000
2015,10,31022100-0,8446622.999999998,1041832,294000
2016,1,31022100-0,1525000.0000000093,312515,40413
2016,4,31022100-0,4827151.000000004,653179,96390
2016,7,31022100-0,5200000.000000004,646909,113100
2016,8,31022100-0,8962329.999999998,1128192,157975
2017,1,31022100-0,6001866.000000003,713284,118800
2017,3,31022100-0,13094598.000000004,1601334,312750
2017,5,31022100-0,3040366.0000000075,372469,69750
2017,8,31022100-0,6503150.000000002,708211,164125
2017,10,31022100-0,7503833.0,799959,203963
2017,12,31022100-0,8151319.999999999,1145535,166000
2018,6,31022100-0,3283305.0000000065,433456,84893
2018,7,31022100-0,10898417.000000007,1415926,290472
2018,8,31022100-0,1500511.0000000093,264351,38925
2018,9,31022100-0,8240183.999999999,1080831,213828
2018,10,31022100-0,1425706.0000000093,258560,39615
2018,11,31022100-0,2665818.0000000075,524786,62400
2018,12,31022100-0,6989706.000000001,991600,179400
2019,1,31022100-0,5000002.000000004,658256,179000
2019,3,31022100-0,12002926.999999993,1840416,354395
2019,4,31022100-0,8960581.00000001,1205547,239581
2019,5,31022100-0,9423820.00000002,1284281,232240
2019,6,31022100-0,7450000.000000011,1036894,159858
2019,7,31022100-0,8508124.00000001,1386076,183695
2019,8,31022100-0,22800374.99999999,3038472,541819
2019,10,31022100-0,7450000.000000011,1126463,178003
2019,11,31022100-0,27216752.000000007,4563831,642393
2019,12,31022100-0,2650000.0000000075,326069,79500
2020,1,31022100-0,13799999.999999993,1912040,369375
2020,2,31022100-0,8200380.000000011,991905,270700
2020,3,31022100-0,4000000.0000000056,377138,171000
2020,4,31022100-0,6400000.000000013,865332,194272
2020,6,31022100-0,11724999.999999994,1456916,313644
2020,7,31022100-0,8075470.00000001,1001638,136275
2020,8,31022100-0,8112844.00000001,870618,271940
2020,9,31022100-0,7903660.0,795387,201100
2020,10,31022100-0,21472010.0,2543973,465481
2020,11,31022100-0,16642390.00000001,2129086,415601
2020,12,31022100-0,12600000.000000004,1499813,254450
2021,1,31022100-0,32282007.0,3953036,845027
2021,3,31022100-0,27003315.999999993,3233481,745230
2021,4,31022100-0,17962836.999999996,2231570,436999
2021,5,31022100-0,8408482.000000011,886112,445136
2021,6,31022100-0,2864410.0000000075,378985,79800
2021,7,31022100-0,10915031.000000019,1569083,394246
2021,8,31022100-0,7900263.000000011,1348486,212155
2021,9,31022100-0,13441785.000000015,2222777,495671
2021,10,31022100-0,5250000.000000004,774029,210000
2021,12,31022100-0,17999999.999999985,2959316,900000
2022,1,31022100-0,15900000.0,2452261,448443
2022,2,31022100-0,3598229.0000000065,797927,203300
2022,3,31022100-0,21070999.99999998,4402705,968730
2022,4,31022100-0,4048000.0000000177,1501480,327967
2022,5,31022100-0,26725120.000000004,7295928,1677950
2022,6,31022100-0,35026279.99999996,11953643,1731840
2022,7,31022100-0,36299999.99999997,12499244,2458540
2022,8,31022100-0,8149999.999999999,3129405,361730
2022,9,31022100-0,6100000.000000013,2111165,485850
2022,10,31022100-0,26299999.99999997,6787665,1437275
2022,11,31022100-0,10814839.999999996,2586165,874584
2022,12,31022100-0,38649999.99999996,9414475,1345600
2023,1,31022100-0,5650000.000000003,1490169,448341
2023,2,31022100-0,3300000.0000000065,989175,198825
2023,3,31022100-0,41342559.99999996,9229443,970198
2023,4,31022100-0,11800000.000000006,2416285,672215
2023,5,31022100-0,22605097.999999978,5900274,1224730
