ANO,MES,NCM,KG,FOB,FRETE
2003,3,31021010,27655803.99999997,3892554,219992
2003,3,31042090,7079036.000000001,814341,84000
2003,3,31054000,11056473.999999994,1938336,173263
2003,4,31022100,6891696.000000001,443746,81600
2003,4,31042090,5775460.000000003,657667,68400
2003,4,31054000,11395861.999999994,2173034,199031
2003,5,31042090,15832788.0,1940997,196481
2003,5,31054000,4523673.000000005,877222,71584
2003,6,31042090,13371641.000000004,1730489,132676
2003,6,31054000,13538392.999999993,2788247,259854
2003,7,31022100,20393723.000000015,1611574,269997
2003,7,31042090,31744999.999999974,3948842,385560
2003,7,31054000,38437760.99999997,7837415,716897
2003,8,31021010,33330643.805421174,5604808,293995
2003,9,31021010,15779974.0,2438801,208616
2003,9,31022100,12494291.000000004,984268,147492
2003,9,31042090,60971080.99999996,7635893,702768
2003,9,31054000,17796341.999999985,3334341,408646
2003,10,31022100,9789590.999999996,793291,88060
2003,10,31042090,11611436.999999994,1496548,140472
2003,10,31054000,27036775.99999998,5165503,471065
2003,11,31042090,17651267.999999996,1874826,402425
2003,11,31054000,17659565.0,3414876,338201
2003,11,31055900,1048640.0000000093,178259,10000
2003,12,31021010,48203238.999999955,8072886,616143
2003,12,31042090,17457571.999999985,2239531,209400
2004,1,31021010,29951584.99999997,4622604,1065651
2004,1,31022100,5027872.000000004,439255,62826
2004,1,31042090,13511413.000000004,1488323,247000
2004,1,31054000,10721701.999999996,2283353,389588
2004,2,31042090,8293554.999999999,1150337,96000
2004,3,31021010,28745890.99999997,4477173,900760
2004,3,31022100,4000000.0000000056,398386,60000
2004,3,31042090,15825136.0,1767003,552880
2004,3,31054000,13343169.999999993,3012287,467011
2004,3,31059090,1200000.0000000093,422195,26337
2004,4,31042090,11539999.999999994,1486909,346200
2004,4,31054000,10364409.999999996,2488657,381642
2004,5,31022100,8599999.999999998,885193,309600
2004,5,31042090,6521600.000000002,880327,194790
2004,5,31054000,13930227.99999999,3269283,473450
2004,6,31022100,14008410.99999999,1587362,358748
2004,6,31042090,7132961.000000001,986868,208154
2004,6,31054000,10576069.999999996,2424766,272933
2004,7,31042090,32968684.999999978,5006243,961582
2004,7,31054000,21632246.0,5036537,541766
2004,7,31055900,9558992.000000007,1772446,207900
2004,8,31021010,25196158.99999997,4473371,680286
2004,8,31042090,35849437.99999999,6017186,801154
2004,8,31054000,47712637.999999955,10773809,1109399
2004,9,31021010,31529870.999999966,6779777,938737
2004,9,31022100,5302210.000000004,464234,235869
2004,9,31042090,65209430.99999995,11190415,1648993
2004,9,31054000,25029745.99999997,5758223,643590
2004,10,31042090,21789188.999999993,3822145,519125
2004,10,31054000,19162405.999999993,4504756,625516
2004,11,31021010,30322113.999999966,6536291,887793
2004,11,31042090,11833492.000000006,2110782,331184
2004,11,31054000,4228939.000000006,1017088,92400
2004,11,31059090,1344000.0000000093,342888,51922
2004,12,31021010,28608590.99999997,6618478,992081
2004,12,31042090,5752670.000000003,1027766,161000
2005,1,31042090,2883566.0000000075,492455,86800
2005,1,31054000,4502715.000000005,1139794,99060
2005,2,31021010,31605069.999999963,5878543,1152618
2005,2,31054000,5651997.000000003,1320339,224095
2005,5,31022100,4019593.0000000056,483971,108000
2005,5,31054000,25132753.999999985,6321096,597661
2005,6,31022100,4031586.0000000056,473040,108000
2005,6,31042090,3801676.0000000056,788862,76000
2005,6,31054000,16499999.999999989,3963893,536250
2005,7,31042090,4007943.0000000056,820298,114250
2005,7,31054000,16498168.999999998,3928593,508210
2005,8,31042090,28147384.999999993,5650157,741350
2005,8,31054000,10783243.999999996,2751854,236990
2005,9,31021010,11499141.999999994,2423444,240528
2005,9,31022100,6001005.000000002,703689,162000
2005,9,31042090,18437086.999999993,3775767,423725
2005,9,31054000,48164624.99999997,12807775,1211431
2005,10,31042090,9973999.999999996,2106558,209454
2005,10,31054000,7744395.000000011,2067544,172540
2005,11,31021010,20917239.99999998,4371703,585862
2005,11,31042090,44093199.999999955,8957284,944791
2005,11,31054000,15565435.0,4343228,341824
2005,12,31021010,35401304.999999985,7500334,871348
2005,12,31042090,8993304.999999998,1869136,196702
2006,1,31022100,6530692.000000002,699455,175500
2006,1,31042090,3717480.000000006,724884,99900
2006,1,31054000,5039862.000000004,1401544,94087
2006,2,31021010,14735878.999999989,3256032,483391
2006,2,31054000,8952432.999999998,2405502,183575
2006,3,31042090,4674771.000000004,871541,81000
2006,4,31042090,11030538.000000019,2032131,206948
2006,4,31054000,3722352.000000006,1017797,100121
2006,5,31022100,8401560.999999998,810524,144000
2006,5,31042090,7004215.000000001,1281124,126000
2006,6,31042090,7233771.000000001,1286873,157916
2006,7,31022100,4500382.000000005,415071,81000
2006,7,31042090,3850000.0000000056,734881,69300
2006,7,31054000,45996046.99999997,12714702,1028801
2006,8,31022100,6032954.000000003,613632,108000
2006,8,31042090,33081125.999999963,5841781,763476
2006,8,31054000,11441299.999999994,3119408,210359
2006,9,31022100,3596152.0000000065,368743,63000
2006,9,31042090,6309460.000000002,1089283,173320
2006,9,31054000,10322746.999999996,2867896,283918
2006,10,31042090,36712548.99999997,6657371,1033586
2006,11,31042090,6092341.000000002,1101910,108000
2006,11,31054000,36946682.99999997,10347665,891550
2006,12,31021010,20846583.99999998,4618051,744913
2006,12,31022100,4125053.000000005,516357,80000
2006,12,31054000,5613923.000000004,1569383,100575
2007,1,31042090,8155583.999999999,1386788,249408
2007,2,31022100,4010429.0000000056,514624,80000
2007,2,31054000,4161981.000000005,1187004,74877
2007,3,31022100,4010817.0000000056,650491,80000
2007,3,31042090,5259766.000000004,903201,166650
2007,4,31042090,6038408.000000003,1268707,170700
2007,4,31055900,10007254.000000007,2897332,250000
2007,5,31022100,10732909.999999996,1657058,214658
2007,5,31042090,14219999.999999989,3059772,575910
2007,5,31054000,40012999.99999995,17628898,713059
2007,6,31022100,4516619.000000005,752363,90000
2007,6,31042090,23073018.99999999,5251251,446000
2007,6,31054000,30978749.999999978,14511010,844504
2007,7,31042090,5900024.000000003,1196156,283200
2007,7,31054000,31232330.999999978,13236688,1170475
2007,8,31022100,5035474.000000004,847305,100000
2007,8,31042090,37860615.999999985,9334210,913228
2007,9,31042090,20483594.99999998,5406284,589570
2007,9,31054000,28845609.999999993,13433641,870225
2007,10,31021010,12999999.999999993,4160000,904911
2007,10,31042090,21802567.0,5967920,879710
2007,10,31054000,23116051.99999999,10761671,1082405
2007,11,31021010,20034937.999999985,6413172,1405343
2007,11,31042090,21195622.999999993,5723958,664591
2007,12,31042090,31650854.999999978,8781245,1438176
2008,1,31021010,5501889.000000004,2511506,99000
2008,1,31042090,26951858.99999998,8821933,487498
2008,1,31054000,11249999.999999994,6830912,202500
2008,2,31022100,9875107.999999996,2885076,196954
2008,2,31055900,8863618.000000011,3494320,176000
2008,4,31042090,10772050.999999996,4888195,481542
2008,5,31042090,47509100.99999996,23359879,1605230
2008,5,31054000,22154640.0,21189525,890757
2008,6,31042090,10002174.999999996,5827269,600000
2008,6,31054000,28870066.999999993,34674722,1132464
2008,7,31042090,21260625.999999993,13953611,1396393
2008,7,31054000,22020339.999999993,26664618,1218993
2008,7,31055900,26317541.999999985,25385114,526350
2008,7,31059090,7155220.000000001,1800877,302095
2008,8,31021010,33058108.99999997,21691211,2252979
2008,8,31042090,37432729.99999996,27564286,1798056
2008,8,31054000,3577701.0000000056,4590884,171216
