ANO,MES,NCM,KG,k1,k2,k3,k4,k5,k6,grupo_mes
2000,3,31022100-0,8106692.000000011,10594862.00000003,0.0,0.0,0.0,0.0,0.0,2
2000,4,31022100-0,1574970.0000000093,6531722.000000002,0.0,0.0,0.0,0.0,0.0,1
2000,5,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,5,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,6,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,7,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,7,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,8,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,8,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,8,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,8,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,8,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,9,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,10,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,11,31022100-0,4317288.000000016,0.0,0.0,0.0,38843152.99999998,0.0,0.0,1
2000,11,31022100-0,10905608.00000003,4317288.000000016,0.0,0.0,38843152.99999998,0.0,0.0,2
2000,11,31022100-0,18744822.00000003,10905608.00000003,0.0,0.0,38843152.99999998,0.0,0.0,3
2000,12,31022100-0,6588320.000000014,4317288.000000016,0.0,0.0,0.0,0.0,0.0,1
2001,1,31022100-0,7839214.0,6588320.000000014,0.0,0.0,0.0,0.0,0.0,1
2001,1,31022100-0,7839214.0,6588320.000000014,0.0,0.0,0.0,0.0,0.0,2
2001,2,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,3
2001,3,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,1
2001,3,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,2
2001,5,31022100-0,6377702.000000014,0.0,0.0,0.0,0.0,0.0,0.0,2
2001,5,31022100-0,18021406.00000002,6377702.000000014,0.0,0.0,0.0,0.0,0.0,3
2001,6,31022100-0,6377702.000000014,0.0,0.0,0.0,0.0,0.0,0.0,1
2001,7,31022100-0,11643704.000000004,6377702.000000014,0.0,0.0,0.0,0.0,0.0,1
2001,7,31022100-0,22812634.0,18021406.00000002,0.0,0.0,0.0,0.0,0.0,2
2001,7,31042090-1,33429668.999999985,11643704.000000004,0.0,0.0,0.0,0.0,0.0,2
2001,8,31022100-0,11168929.999999994,11643704.000000004,0.0,0.0,0.0,0.0,0.0,1
2001,8,31022100-0,16994914.000000007,22812634.0,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,8,31042090-1,33429668.999999985,11643704.000000004,0.0,0.0,0.0,0.0,0.0,1
2001,8,31042090-1,79462822.99999997,22812634.0,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,8,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,9,31022100-0,5825984.000000014,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31022100-0,5825984.000000014,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2001,9,31042090-1,46033153.99999998,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31042090-1,46033153.99999998,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2001,9,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2002,2,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,3,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,4,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,5,31022100-0,9184350.00000001,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,1
2002,5,31022100-0,9184350.00000001,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,2
2002,5,31022100-0,13055141.000000015,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,3
2002,5,31042090-1,36233883.99999999,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,5,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,7,31022100-0,3870791.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31022100-0,9445088.000000007,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,2
2002,7,31042090-1,36233883.99999999,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31042090-1,70474233.99999997,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,2
2002,7,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,8,31022100-0,5574297.000000003,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,1
2002,8,31022100-0,5574297.000000003,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,3
2002,8,31042090-1,34240349.999999985,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,1
2002,8,31042090-1,34240349.999999985,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,3
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,2,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,3,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,4,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
2003,5,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,5,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,5,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,3
2003,5,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,3
2003,6,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,1
2003,7,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,2
2003,7,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,1
2003,7,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,2
2003,7,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,1
2003,7,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,2
2003,8,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,1
2003,8,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,3
2003,8,31022100-0,27472749.000000015,14494820.000000011,60971080.99999996,0.0,33330643.805421174,0.0,0.0,3
2003,8,31042090-1,60971080.99999996,0.0,0.0,0.0,33330643.805421174,0.0,0.0,3
2003,8,31054000-1,27060775.999999996,14494820.000000011,60971080.99999996,0.0,0.0,0.0,0.0,3
2003,9,31022100-0,14494820.000000011,0.0,0.0,0.0,33330643.805421174,0.0,0.0,1
2003,9,31022100-0,27472749.000000015,14494820.000000011,60971080.99999996,0.0,33330643.805421174,0.0,0.0,2
2003,9,31042090-1,60971080.99999996,0.0,0.0,0.0,33330643.805421174,0.0,0.0,1
2003,9,31042090-1,60971080.99999996,0.0,0.0,0.0,33330643.805421174,0.0,0.0,2
2003,9,31054000-1,27060775.999999996,14494820.000000011,60971080.99999996,0.0,0.0,0.0,0.0,2
2003,10,31022100-0,12977929.000000004,14494820.000000011,60971080.99999996,0.0,0.0,0.0,0.0,1
2003,10,31054000-1,27060775.999999996,14494820.000000011,60971080.99999996,0.0,0.0,0.0,0.0,1
2003,11,31021010-0,48203238.99999996,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,11,31021010-0,78154823.99999994,0.0,0.0,0.0,48203238.99999996,0.0,0.0,3
2003,11,31022100-0,5027872.000000004,0.0,0.0,0.0,48203238.99999996,0.0,0.0,3
2003,12,31021010-0,48203238.99999996,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,1,31021010-0,29951584.99999997,0.0,0.0,0.0,48203238.99999996,0.0,0.0,1
2004,1,31021010-0,29951584.99999997,0.0,0.0,0.0,48203238.99999996,0.0,0.0,2
2004,1,31022100-0,5027872.000000004,0.0,0.0,0.0,48203238.99999996,0.0,0.0,1
2004,1,31022100-0,5027872.000000004,0.0,0.0,0.0,48203238.99999996,0.0,0.0,2
2004,2,31021010-0,28745890.99999997,0.0,0.0,0.0,0.0,0.0,0.0,3
2004,2,31022100-0,4000000.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,3
2004,3,31021010-0,28745890.99999997,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,3,31021010-0,28745890.99999997,0.0,0.0,0.0,0.0,0.0,0.0,2
2004,3,31022100-0,4000000.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,3,31022100-0,4000000.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,2
2004,5,31022100-0,8599999.999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,5,31022100-0,22608410.99999999,8599999.999999998,0.0,16978935.000000007,0.0,0.0,0.0,2
2004,5,31022100-0,22608410.99999999,8599999.999999998,0.0,16978935.000000007,0.0,0.0,0.0,3
2004,5,31042090-1,32968684.999999978,14008410.99999999,0.0,0.0,0.0,0.0,0.0,3
2004,5,31054000-1,16978935.000000007,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,5,31054000-1,16978935.000000007,0.0,0.0,0.0,0.0,0.0,0.0,2
2004,5,31054000-1,38611181.00000001,14008410.99999999,0.0,0.0,0.0,0.0,0.0,3
2004,5,31055900-1,4779496.000000004,14008410.99999999,0.0,0.0,0.0,0.0,0.0,3
2004,6,31022100-0,14008410.99999999,8599999.999999998,0.0,16978935.000000007,0.0,0.0,0.0,1
2004,7,31021010-0,25196158.99999997,0.0,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,2
2004,7,31042090-1,32968684.999999978,14008410.99999999,0.0,0.0,0.0,0.0,0.0,1
2004,7,31042090-1,68818122.99999997,14008410.99999999,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,2
2004,7,31054000-1,21632246.0,14008410.99999999,0.0,0.0,0.0,0.0,0.0,1
2004,7,31054000-1,69344883.99999997,14008410.99999999,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,2
2004,7,31055900-1,4779496.000000004,14008410.99999999,0.0,0.0,0.0,0.0,0.0,1
2004,7,31055900-1,4779496.000000004,14008410.99999999,0.0,0.0,0.0,0.0,0.0,2
2004,8,31021010-0,25196158.99999997,0.0,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,1
2004,8,31021010-0,57195136.99999995,0.0,68818122.99999997,69344883.99999997,25196158.99999997,4779496.000000004,0.0,3
2004,8,31022100-0,5302210.000000004,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,3
2004,8,31042090-1,35849437.99999999,0.0,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,1
2004,8,31042090-1,124867593.99999996,5302210.000000004,136047089.99999994,94374629.99999994,57195136.99999995,4779496.000000004,0.0,3
2004,8,31054000-1,47712637.99999996,0.0,32968684.999999978,21632246.0,0.0,4779496.000000004,0.0,1
2004,8,31054000-1,91904789.99999993,5302210.000000004,136047089.99999994,94374629.99999994,57195136.99999995,4779496.000000004,0.0,3
2004,9,31021010-0,31998977.999999978,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,1
2004,9,31021010-0,31998977.999999978,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,2
2004,9,31022100-0,5302210.000000004,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,1
2004,9,31022100-0,5302210.000000004,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,2
2004,9,31042090-1,67228966.99999996,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,1
2004,9,31042090-1,89018155.99999996,5302210.000000004,103078404.99999994,72742383.99999994,57195136.99999995,0.0,0.0,2
2004,9,31054000-1,25029745.99999997,0.0,35849437.99999999,47712637.99999996,25196158.99999997,0.0,0.0,1
2004,9,31054000-1,44192151.99999997,5302210.000000004,103078404.99999994,72742383.99999994,57195136.99999995,0.0,0.0,2
2004,10,31042090-1,21789188.999999996,5302210.000000004,67228966.99999996,25029745.99999997,31998977.999999978,0.0,0.0,1
2004,10,31054000-1,19162405.999999996,5302210.000000004,67228966.99999996,25029745.99999997,31998977.999999978,0.0,0.0,1
2004,11,31021010-0,30322113.999999966,0.0,21789188.999999996,19162405.999999996,0.0,0.0,0.0,1
2004,11,31021010-0,58930704.99999994,0.0,21789188.999999996,19162405.999999996,30322113.999999966,0.0,0.0,2
2004,11,31021010-0,58930704.99999994,0.0,21789188.999999996,19162405.999999996,30322113.999999966,0.0,0.0,3
2004,12,31021010-0,28608590.99999997,0.0,0.0,0.0,30322113.999999966,0.0,0.0,1
2005,1,31021010-0,31605069.999999963,0.0,0.0,0.0,0.0,0.0,0.0,2
2005,2,31021010-0,31605069.999999963,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,2,31021010-0,31605069.999999963,0.0,0.0,0.0,0.0,0.0,0.0,3
2005,5,31022100-0,4019593.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,5,31022100-0,8051179.000000011,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,2
2005,5,31022100-0,8051179.000000011,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,3
2005,5,31054000-1,25132753.999999985,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,5,31054000-1,42632926.999999985,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,2
2005,5,31054000-1,42632926.999999985,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,3
2005,6,31022100-0,4031586.0000000056,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,1
2005,6,31054000-1,17500172.999999996,4019593.0000000056,0.0,25132753.999999985,0.0,0.0,0.0,1
2005,7,31042090-1,28210385.000000004,0.0,0.0,0.0,0.0,0.0,0.0,2
2005,8,31022100-0,6001005.000000002,0.0,28210385.000000004,0.0,0.0,0.0,0.0,3
2005,8,31042090-1,28210385.000000004,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,8,31042090-1,46647472.0,0.0,28210385.000000004,0.0,0.0,0.0,0.0,3
2005,8,31054000-1,48164624.99999997,0.0,28210385.000000004,0.0,0.0,0.0,0.0,3
2005,9,31022100-0,6001005.000000002,0.0,28210385.000000004,0.0,0.0,0.0,0.0,1
2005,9,31022100-0,6001005.000000002,0.0,28210385.000000004,0.0,0.0,0.0,0.0,2
2005,9,31042090-1,18437086.999999996,0.0,28210385.000000004,0.0,0.0,0.0,0.0,1
2005,9,31042090-1,18437086.999999996,0.0,28210385.000000004,0.0,0.0,0.0,0.0,2
2005,9,31054000-1,48164624.99999997,0.0,28210385.000000004,0.0,0.0,0.0,0.0,1
2005,9,31054000-1,48164624.99999997,0.0,28210385.000000004,0.0,0.0,0.0,0.0,2
2005,11,31021010-0,20917239.99999998,0.0,0.0,0.0,0.0,0.0,0.0,1
